Date,Bike,Car,Lorry,speed_00,speed_10,speed_20,speed_30,speed_40,speed_50,speed_60
2020-08-03 22:00:00+00,0,0,0,,,,,,,
2020-08-03 23:00:00+00,0,0,0,,,,,,,
2020-08-04 00:00:00+00,0,0,0,,,,,,,
2020-08-04 05:00:00+00,5.177993528,99.6763754,0,19.41747573,14.2394822,18.12297735,16.82847896,23.30097087,7.766990291,
2020-08-04 06:00:00+00,19.60784314,56.20915033,0,7.843137255,13.07189542,7.843137255,10.45751634,5.22875817,6.535947712,1.307189542
2020-08-04 07:00:00+00,9.333333333,38.66666667,0,18.66666667,9.333333333,4,1.333333333,,2.666666667,
2020-08-04 08:00:00+00,33.18872017,37.09327549,1.952277657,21.47505423,5.856832972,3.904555315,3.904555315,,,1.952277657
2020-08-03 06:00:00+00,14.80263158,337.5,5.921052632,11.84210526,38.48684211,68.09210526,145.0657895,47.36842105,20.72368421,2.960526316
2020-08-03 07:00:00+00,9.347181009,66.76557864,4.005934718,17.35905045,9.347181009,16.02373887,12.01780415,6.676557864,1.335311573,2.670623145
2020-08-03 10:00:00+00,5.827600162,101.9830028,0,17.48280049,10.19830028,27.68110077,29.13800081,10.19830028,7.284500202,
2020-08-03 11:00:00+00,18.50533808,89.6797153,0,12.8113879,9.964412811,25.6227758,18.50533808,17.08185053,4.270462633,
2020-08-05 05:00:00+00,10.15156856,39.33732816,0,16.49629891,8.882622489,5.075784279,2.53789214,,2.53789214,1.26894607
2020-08-05 06:00:00+00,1.364670205,50.49279757,0,16.37604246,6.823351024,12.28203184,2.729340409,4.094010614,4.094010614,2.729340409
2020-08-05 10:00:00+00,9.378489021,53.59136584,0,21.43654633,13.39784146,10.71827317,8.038704875,,,
2020-08-05 11:00:00+00,21.4200714,49.9801666,0,15.70805236,4.28401428,7.1400238,12.85204284,1.42800476,1.42800476,5.71201904
2020-08-05 12:00:00+00,14.52145215,43.56435644,0,18.48184818,7.920792079,7.920792079,2.640264026,1.320132013,2.640264026,1.320132013
2020-08-05 13:00:00+00,31.34978229,36.57474601,0,15.67489115,9.143686502,5.224963716,3.918722787,1.306240929,,
2020-08-05 14:00:00+00,14.5802651,27.83505155,0,11.92930781,10.60382916,2.65095729,2.65095729,,,
2020-08-05 15:00:00+00,0,17.72727273,0,8.181818182,4.090909091,1.363636364,,2.727272727,1.363636364,
2020-08-05 16:00:00+00,0,16.01016518,0,6.861499365,,9.14866582,,,,
2020-08-05 17:00:00+00,0,16.42585551,0,10.95057034,,2.737642586,1.368821293,,,
2020-08-05 20:00:00+00,0,0,0,,,,,,,
2020-08-03 12:00:00+00,13.39784146,131.2988463,0,25.45589877,24.11611463,25.45589877,36.17417194,18.75697804,,1.339784146
2020-08-03 13:00:00+00,36.3500374,119.8204936,0,21.5407629,20.19446522,33.65744203,22.88706058,17.50186986,2.692595363,
2020-08-05 00:00:00+00,0,0,0,,,,,,,
2020-08-05 01:00:00+00,0,0,0,,,,,,,
2020-08-05 02:00:00+00,0,0,0,,,,,,,
2020-08-05 21:00:00+00,0,0,0,,,,,,,
2020-08-05 22:00:00+00,0,0,0,,,,,,,
2020-08-05 23:00:00+00,0,0,0,,,,,,,
2020-08-05 03:00:00+00,0,0,0,,,,,,,
2020-08-05 04:00:00+00,2.501737318,35.02432245,0,12.50868659,12.50868659,7.505211953,,,,2.501737318
2020-08-03 14:00:00+00,15.20153551,87.06333973,0,22.11132438,9.673704415,19.34740883,23.49328215,9.673704415,,1.381957774
2020-08-03 15:00:00+00,2.710843373,93.52409639,0,13.55421687,9.487951807,24.39759036,23.04216867,13.55421687,4.06626506,4.06626506
2020-08-03 16:00:00+00,0,62.02036022,0,19.73375098,8.457321848,5.638214565,14.09553641,5.638214565,8.457321848,
2020-08-03 17:00:00+00,6.831119545,90.17077799,0,19.12713472,4.098671727,23.22580645,19.12713472,17.76091082,6.831119545,
2020-08-04 16:00:00+00,3.483309144,29.60812772,0,24.38316401,,3.483309144,,,,
2020-08-04 17:00:00+00,8.487229862,16.97445972,0,7.072691552,2.829076621,2.829076621,1.41453831,1.41453831,,
2020-08-04 18:00:00+00,7.789397764,5.192931843,0,2.596465921,1.298232961,,1.298232961,,,
2020-08-04 19:00:00+00,0,0,0,,,,,,,
2020-08-04 20:00:00+00,0,0,0,,,,,,,
